ReciboID,PorcentajeDescuento,VehiculoID,ClienteID,Cantidad,Precio,Precio,Subtotal,Nombre,CostoActual,CostoAnterior,
35,0,47,42,1,81.9,81.9,81.9,FILTRO DE GASOLINA FGI.12 INTERFIL,0,0,
35,0,47,42,4,30.17,30.17,120.68,BUJIA DE ENCENDIDO DELCO,30.17,30.17,
36,0,50,32,1,60.34,60.34,60.34,FILTRO DE ACEITE ML1006,60.34,60.34,
36,0,50,32,2,77.59,77.59,155.18,POLEA,370.69,370.69,
36,0,50,32,6,64.66,64.66,387.96,ACEITE MOBIL ESPECIAL SAE 20W-50 D/T,64.66,64.66,
37,0,53,47,5,88.79,88.79,443.95,ACEITE MOBIL SUPER TRC 20W-50 API SN 946ML,88.79,88.79,
37,0,53,47,1,112.07,112.07,112.07,FILTRO DE ACEITE INTERFIL OF-10246,112.07,112.07,
38,0,54,16,2,1995.69,1995.69,3991.38,LLANTA NEXEN ROADIAN 235/75/15,1995.69,1995.69,
40,0,55,7,1,67.24,67.24,67.24,BOTE LIMPIADOR DE CUERPO DE ACELERACIÓN ECOM,67.24,67.24,
40,0,55,7,1,60.34,60.34,60.34,FILTRO DE ACEITE PUROLATOR TL14610 EQ/1008,60.34,60.34,
40,0,55,7,4,88.79,88.79,355.16,ACEITE MOBIL SUPER TRC 20W-50 API SN 946ML,88.79,88.79,
39,0,51,45,1,60.34,60.34,60.34,FILTRO DE ACEITE ML 1012 EQ/ TL24457,60.34,60.34,
39,0,51,45,4,27.59,27.59,110.36,BUJÍA NGK BKR5,27.59,27.59,
39,0,51,45,4,64.66,64.66,258.64,ACEITE MOBIL ESPECIAL SAE 20W-50 D/T,64.66,64.66,
39,0,51,45,1,431.03,431.03,431.03,CONSUMIBLES DE LIMPIEZA Y SELLADO DE MOTOR,431.03,431.03,
39,0,51,45,2,133.62,133.62,267.24,GALÓN DE ANTICONGELANTE PRESTONE 33%,133.62,133.62,
39,0,51,45,1,241.38,241.38,241.38,CILINDRO MAESTRO,728.45,728.45,
39,0,51,45,1,875.27,875.27,875.27,JUEGO DE EMPAQUES TFVICTOR,875.27,875.27,
39,0,51,45,1,782.58,782.58,782.58,ANILLOS STD MAHLE,782.58,782.58,
39,0,51,45,1,754.14,754.14,754.14,BOMBA DE ACEITE,754.14,754.14,
39,0,51,45,1,1672.95,1672.95,1672.95,KIT DE CADENA PARA NISSAN,1672.95,1672.95,
39,0,51,45,8,95.97,95.97,767.76,VALVULA DE ADMISIÓN PARA NISSAN,95.97,95.97,
39,0,51,45,4,97.69,97.69,390.76,VALVULA DE ESCAPE PARA NISSAN,97.69,97.69,
39,0,51,45,4,291.2,291.2,1164.8,PISTON PARA NISSAN,291.2,291.2,
39,0,51,45,12,228.84,228.84,2746.08,BALANCIN PARA NISSAN,228.84,228.84,
39,0,51,45,1,180,180,180,METAL DE BIELA PARA NISSAN,180,180,
39,0,51,45,1,399.89,399.89,399.89,METAL DE BANCADA,399.89,399.89,
39,0,51,45,1,241.38,241.38,241.38,SELLOS DE MOTOR,241.38,241.38,
39,0,51,45,1,288.79,288.79,288.79,BASE DE MOTOR,288.79,288.79,
39,0,51,45,1,1413.79,1413.79,1413.79,CLOUTCH PARA NISSAN,1413.79,1413.79,
39,0,51,45,1,163.79,163.79,163.79,CILINDRO ESCLAVO PARA NISSAN,163.79,163.79,
39,0,51,45,1,3017.24,3017.24,3017.24,CABEZA DE CILINDROS USADA EN BUEN ESTADO PARA NISSAN 2.4 LITROS 12 VALVULAS,0,0,
40,0,55,7,4,30.17,30.17,120.68,BUJIA DE ENCENDIDO DELCO,30.17,30.17,
40,0,55,7,1,327.59,327.59,327.59,FILTRO DE AIRE,327.59,327.59,
40,0,55,7,2,30.17,30.17,60.34,VUELTA DE ACEITE 85W-140,30.17,30.17,
43,0,57,49,1,60.34,60.34,60.34,FILTRO DE ACEITE PUROLATOR TL14610 EQ/1008,60.34,60.34,
